property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max
Acidity - exchangeable,ExchAcid_ph0-kcl1m,cmol/kg,0,100
Acidity - exchangeable,ExchAcid_ph0-nh4cl,cmol/kg,0,100
Acidity - exchangeable,ExchAcid_ph0-unkn,cmol/kg,0,100
Acidity - exchangeable,ExchAcid_ph7-caoac,cmol/kg,0,100
Acidity - exchangeable,ExchAcid_ph7-unkn,cmol/kg,0,100
Acidity - exchangeable,ExchAcid_ph8-bacl2tea,cmol/kg,0,100
Acidity - exchangeable,ExchAcid_ph8-unkn,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph0-cohex,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph0-nh4cl,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph7-nh4oac,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph7-nh4oac-aas,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph7-nh4oac-fp,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph7-unkn,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph8-bacl2tea,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph8-unkn,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph-unkn-edta,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph-unkn-m3,cmol/kg,0,100
Aluminium (Al+++) - exchangeable,ExchBases_ph-unkn-m3-spec,cmol/kg,0,100
aluminiumProperty,Total_h2so4,%,0,100
aluminiumProperty,Total_hcl,%,0,100
aluminiumProperty,Total_hcl-aquaregia,%,0,100
aluminiumProperty,Total_hclo4,%,0,100
aluminiumProperty,Total_hno3-aquafortis,%,0,100
aluminiumProperty,Total_nh4-6mo7o24,%,0,100
aluminiumProperty,Total_tp03,%,0,100
aluminiumProperty,Total_tp04,%,0,100
aluminiumProperty,Total_tp05,%,0,100
aluminiumProperty,Total_tp06,%,0,100
aluminiumProperty,Total_tp07,%,0,100
aluminiumProperty,Total_tp08,%,0,100
aluminiumProperty,Total_tp09,%,0,100
aluminiumProperty,Total_tp10,%,0,100
aluminiumProperty,Total_unkn,%,0,100
