mapset_id	title	unit_id	creation_date	revision_date	publication_date	abstract	keyword_theme	keyword_place	access_constraints	use_constraints	other_constraints	time_period_begin	time_period_end	citation_md_identifier_code	lineage_statement	organisation_id	url	organisation_email	country	city	postal_code	delivery_point	individual_id	email	position	url_paper	url_project
PH-GSAS-ECX-2020	Soil Electrical Conductivity (Philippines - 1 km)		2020-08-01	2020-08-01	2020-08-01	Soil electrical conductivity derived from soil samples collected from 0-30 and 30-100 cm depth	{soil,digital soil mapping,electrical conductivity}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31		https://doi.org/10.4060/ca9215en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		
PH-GSAS-NAEXC-2020	Soil Exchangeable Sodium (Philippines - 1 km)		2020-08-01	2020-08-01	2020-08-01	Soil exchangeable sodium percentage   derived from soil samples collected from 0-30 and 30-100 cm depth	{soil,digital soil mapping,exchangeable sodium}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31		https://doi.org/10.4060/ca9215en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		
PH-GSAS-PHX-2020	Soil pH (Philippines - 1 km)		2020-08-01	2020-08-01	2020-08-01	Soil pH derived from soil samples collected from 0-30 and 30-100 cm depth	{soil,digital soil mapping,ph}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31		https://doi.org/10.4060/ca9215en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		
PH-GSAS-SALT-2020	Salt Affected Soils (Philippines - 1 km)		2020-08-01	2020-08-01	2020-08-01	Salt affected areas derived from soil samples collected from 0-30 and 30-100 cm depth	{soil,digital soil mapping,salt affected}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31		https://doi.org/10.4060/ca9215en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		
PH-GSOC-CORGADBAU-2021	Soil Organic Carbon Sequestration Potential Absolute Difference BAU (Philippines - 1 km)		2021-05-01	2021-05-01	2021-05-01	The data represents the spatial variability of soil organic carbon stock at 0-30 cm depth under business as usual management. Each pixel value indicates the projected soil organic carbon stock change in the corresponding geographic location from 2020 initial stocks. Unit: tons/ha	{soil,digital soil mapping,organic carbon,carbon}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31	https://doi.org/10.4060/cb9002en	https://doi.org/10.4060/cb2642en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		https://www.fao.org/global-soil-partnership/resources/highlights/detail/en/c/1471478/
PH-GSOC-CORGADSSM1-2021	Soil Organic Carbon Sequestration Potential AbsDiff SSM1 (Philippines - 1 km)		2021-05-01	2021-05-01	2021-05-01	The data represents the spatial variability of soil organic carbon stock at 0-30 cm depth under sustainable soil management scenario 1. Each pixel value indicates the projected soil organic carbon stock change in the corresponding geographic location from 2020 initial stocks. Unit: tons/ha	{soil,digital soil mapping,organic carbon,carbon}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31	https://doi.org/10.4060/cb9002en	https://doi.org/10.4060/cb2642en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		https://www.fao.org/global-soil-partnership/resources/highlights/detail/en/c/1471478/
PH-GSOC-CORGADSSM2-2021	Soil Organic Carbon Sequestration Potential AbsDiff SSM2 (Philippines - 1 km)		2021-05-01	2021-05-01	2021-05-01	The data represents the spatial variability of soil organic carbon stock at 0-30 cm depth under sustainable soil management scenario 1. Each pixel value indicates the projected soil organic carbon stock change in the corresponding geographic location from 2020 initial stocks. Unit: tons/ha	{soil,digital soil mapping,organic carbon,carbon}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31	https://doi.org/10.4060/cb9002en	https://doi.org/10.4060/cb2642en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		https://www.fao.org/global-soil-partnership/resources/highlights/detail/en/c/1471478/
PH-GSOC-CORGADSSM3-2021	Soil Organic Carbon Sequestration Potential AbsDiff SSM3 (Philippines - 1 km)		2021-05-01	2021-05-01	2021-05-01	The data represents the spatial variability of soil organic carbon stock at 0-30 cm depth under sustainable soil management scenario 1. Each pixel value indicates the projected soil organic carbon stock change in the corresponding geographic location from 2020 initial stocks. Unit: tons/ha	{soil,digital soil mapping,organic carbon,carbon}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31	https://doi.org/10.4060/cb9002en	https://doi.org/10.4060/cb2642en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		https://www.fao.org/global-soil-partnership/resources/highlights/detail/en/c/1471478/
PH-GSOC-CORGASRSSM1-2021	Soil Organic Carbon Sequestration Potential ASR SSM1 (Philippines - 1 km)		2021-05-01	2021-05-01	2021-05-01	The data represents the spatial variability of absolute soil organic carbon sequestration rate at 0-30 cm depth under sustainable soil management scenario 1. Each pixel value indicates the average annual rate of soil organic carbon stock change in the corresponding geographic location from 2020 to 2040. Unit: tons C/ha/year	{soil,digital soil mapping,organic carbon,carbon}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31	https://doi.org/10.4060/cb9002en	https://doi.org/10.4060/cb2642en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		https://www.fao.org/global-soil-partnership/resources/highlights/detail/en/c/1471478/
PH-GSOC-CORGASRSSM2-2021	Soil Organic Carbon Sequestration Potential ASR SSM2 (Philippines - 1 km)		2021-05-01	2021-05-01	2021-05-01	The data represents the spatial variability of absolute soil organic carbon sequestration rate at 0-30 cm depth under sustainable soil management scenario 2. Each pixel value indicates the average annual rate of soil organic carbon stock change in the corresponding geographic location from 2020 to 2040. Unit: tons C/ha/year	{soil,digital soil mapping,organic carbon,carbon}	{Philippines}	copyright	license	Creative Commons Attribution 4.0	1960-01-01	2020-12-31	https://doi.org/10.4060/cb9002en	https://doi.org/10.4060/cb2642en	 Departement of Agriculture - Bureau of Soils and Water Management	http://www.bswm.da.gov.ph	customers.center@bswm.da.gov.ph	Philippines	Quezon	1128	SRDC Bldg. Elliptical Road corner Visayas Avenue, Diliman	Andrew B. Flores	andrew.flores@bswm.da.gov.ph	Science Research Specialist		https://www.fao.org/global-soil-partnership/resources/highlights/detail/en/c/1471478/
